net,length_um
net1,104.32
clknet_2_3__leaf_clk,98.52
net6,95.44
_120_,91.9
clknet_2_1__leaf_clk,91.01
_122_,90.58
net7,86.02
net15,84.32
net16,83.82
clknet_0_clk,81.19
net17,79.35
clknet_2_0__leaf_clk,79.2
net18,79.15
net12,75.5
_094_,71.02
clknet_2_2__leaf_clk,63.38
_102_,61.54
state\[0\],59.22
net9,57.14
net10,54.3
_070_,51.32
net14,50.18
_072_,49.97
net4,49.16
net2,48.48
state\[1\],47.98
_043_,44.83
clk,39.43
net13,38.94
_063_,35.62
net11,34.52
baud_counter\[6\],34.32
_074_,34.115
baud_counter\[7\],33.66
idle_counter\[0\],33.28
idle_counter\[2\],31.3
_089_,30.28
idle_counter\[9\],28.595
_065_,28.26
idle_counter\[1\],28.135
baud_counter\[5\],26.19
_056_,26.14
baud_counter\[2\],25.98
idle_counter\[4\],25.8
baud_counter\[4\],25.435
_092_,25.2
baud_counter\[1\],24.92
_079_,24.18
_127_,24.1
_088_,22.96
bit_count\[0\],22.64
_125_,22.58
_121_,22.32
idle_counter\[6\],22.3
_114_,21.14
_095_,20.92
_054_,20.66
baud_counter\[0\],20.52
_062_,19.68
_039_,19.38
baud_tick,19.26
_077_,18.88
idle_counter\[3\],18.86
baud_counter\[8\],18.82
shift_reg\[5\],18.74
_129_,18.44
sleep_pending,18.42
net5,18.14
_118_,17.85
bit_count\[1\],17.78
_045_,17.56
tx_data[7],17.2
shift_reg\[7\],16.3
idle_counter\[5\],16.02
_050_,15.9
_037_,15.54
_101_,15.24
_097_,15.22
_117_,15.2
idle_counter\[7\],14.9
tx,14.82
_005_,14.745
baud_counter\[3\],14.52
_024_,14.04
shift_reg\[6\],13.92
net8,13.8
_084_,13.64
_035_,13.5
_058_,13.42
_091_,13.26
shift_reg\[1\],13.22
_123_,13.18
_048_,12.6
tx_data[4],12.6
_004_,12.58
_100_,12.5
_046_,12.375
shift_reg\[2\],12.36
_053_,11.64
_104_,11.42
_041_,11.2
_090_,11.2
shift_reg\[3\],11.2
idle_counter\[8\],11
bit_count\[2\],10.94
rst_n,10.88
tx_data[0],10.66
sleep_ack,10.54
_010_,9.98
_023_,9.86
sleep,9.64
tx_data[5],9.64
_057_,9.46
net33,9.45
_060_,9.4
shift_reg\[4\],9.24
net3,9.2
_009_,9.18
tx_data[1],9.15
_059_,8.68
_087_,8.62
_020_,8.5
bit_count\[3\],8.48
_042_,8.42
baud_counter\[9\],8.14
net23,8.14
_066_,7.74
_075_,7.56
_076_,7.56
_103_,7.56
_003_,7.305
_098_,7.12
net31,7.06
_096_,6.98
_073_,6.88
tx_start,6.77
_085_,6.76
_061_,6.72
_128_,6.72
_111_,6.64
_017_,6.6
_110_,6.6
_093_,6.515
_033_,6.48
_108_,6.44
net24,6.28
_018_,6.26
_105_,6.26
_083_,6.16
_044_,5.84
tx_busy,5.75
tx_data[3],5.75
_052_,5.72
_099_,5.72
tx_data[2],5.63
_000_,5.38
_047_,5.38
net29,5.38
_067_,5.2
_026_,5.04
_119_,4.975
_116_,4.94
_034_,4.92
_038_,4.92
_064_,4.9
_080_,4.9
_124_,4.66
_126_,4.58
_011_,4.48
_021_,4.46
_006_,4
shift_reg\[0\],4
tx_data[6],3.93
_015_,3.66
_007_,3.56
net30,3.54
_022_,3.42
_086_,3.42
_113_,3.42
net25,3.23
net21,3.22
_002_,3.2
_012_,3.2
net32,3.2
_027_,3.08
_115_,3.08
_051_,2.96
_055_,2.96
_013_,2.925
_029_,2.84
_008_,2.765
_001_,2.76
net27,2.75
_030_,2.74
_019_,2.62
_036_,2.62
_028_,2.5
_081_,2.32
_078_,2.3
net19,2.3
net20,2.3
_014_,2.28
_016_,2.28
_025_,2.18
_031_,2.18
_032_,2.18
_069_,2.18
_082_,2.18
_112_,2.18
_040_,2.16
_071_,2.16
_107_,2.06
_109_,2.06
net26,1.84
_106_,1.48
_049_,1.38
net28,1.38
_068_,1.14
net22,0.46
